symbol,revenue,net_profit,debt,cash_flow,roe,roce,quarter,ingestion_time
AGI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444054
AGIIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444055
AGROPHOS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444056
AHCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444057
AHLADA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444060
AHLEAST,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444062
AHLUCONT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444064
AIAENG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444067
AIIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444070
AIRAN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444073
AIROLAM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444075
AJANTPHARM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444078
AJAXENGG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444080
AJMERA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444082
AJOONI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444084
AKASH,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444086
AKG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444094
AKI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444096
AKSHAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444099
AKSHARCHEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444101
AKSHOPTFBR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444103
AKUMS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444105
AKZOINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444107
ALANKIT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444109
ALBERTDAVD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444111
ALEMBICLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444114
ALGOQUANT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444116
ALICON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444118
ALIVUS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444121
ALKALI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444123
ALKEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444124
ALKYLAMINE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444126
ALLCARGO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444129
ALLDIGI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444131
ALLTIME,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444133
ALMONDZ,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444135
ALOKINDS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444137
ALPA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444139
ALPHAGEO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444142
AMAGI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444144
AMANTA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444146
AMBER,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444148
AMBICAAGAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444151
AMBIKCO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444153
AMBUJACEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444155
AMDIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444158
AMJLAND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444160
AMNPLST,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444162
AMRUTANJAN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444164
ANANDRATHI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444166
ANANTRAJ,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444168
ANDHRAPAP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444170
ANDHRSUGAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444172
ANGELONE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444174
ANIKINDS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444176
ANMOL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444178
ANTELOPUS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444179
ANTGRAPHIC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444181
ANTHEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444183
ANUHPHR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444185
ANUP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444187
ANURAS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444189
APARINDS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444191
APCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444193
APCOTEXIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444195
APEX,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444197
APLAPOLLO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444199
APLLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444201
APOLLO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444203
APOLLOHOSP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444205
APOLLOPIPE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444207
APOLLOTYRE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444209
APOLSINHOT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444211
APTECHT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444213
APTUS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444215
ARCHIDPLY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444217
ARCHIES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444219
ARE&M,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444221
ARENTERP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444224
ARFIN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444226
ARIES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444228
ARIHANTCAP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444230
ARIHANTSUP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444263
ARIS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444266
ARKADE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444268
ARMANFIN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444270
AROGRANITE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444272
ARROWGREEN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444274
ARSSBL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444276
ARTEMISMED,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444278
ARTNIRMAN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444281
ARVIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444283
ARVINDFASN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444285
ARVSMART,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444287
ASAHIINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444289
ASAHISONG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444291
ASAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444293
ASALCBR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444295
ASHAPURMIN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444297
ASHIANA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444299
ASHIMASYN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444301
ASHOKA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444303
ASHOKAMET,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444306
ASHOKLEY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444308
ASIANENE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444310
ASIANHOTNR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444312
ASIANPAINT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444314
ASIANTILES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444316
ASKAUTOLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444318
ASMS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444321
ASPINWALL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444323
ASTEC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444325
ASTERDM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444327
ASTRAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444329
ASTRAMICRO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444331
ASTRAZEN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444333
ASTRON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444335
ATALREAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444337
ATAM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444339
ATGL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444341
ATHERENERG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444343
ATL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444345
ATLANTAA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444347
ATLANTAELE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444350
ATLASCYCLE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444352
ATUL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444354
ATULAUTO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444356
AUBANK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444358
AURIONPRO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444360
AUROPHARMA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444362
AURUM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444364
AUTOAXLES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444366
AUTOIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444368
AVADHSUGAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444371
AVALON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444373
AVANTEL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444375
AVANTIFEED,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444377
AVG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444379
AVL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444382
AVONMORE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444384
AVTNPL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444386
AWFIS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444388
AWHCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444390
AWL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444393
AXISBANK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444394
AXISCADES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444397
AYE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444398
AYMSYNTEX,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444400
AZAD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444402
BAGFILMS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444404
BAIDFIN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444406
BAJAJ-AUTO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444408
BAJAJCON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444410
BAJAJELEC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444413
BAJAJFINSV,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444415
BAJAJHCARE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444417
BAJAJHFL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444419
BAJAJHIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444421
BAJAJHLDNG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444423
BAJAJINDEF,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444426
BAJEL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444428
BAJFINANCE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444430
BALAJEE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444432
BALAJITELE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444434
BALAMINES,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444436
BALAXI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444438
BALKRISHNA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444441
BALKRISIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444443
BALMLAWRIE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444445
BALPHARMA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444447
BALRAMCHIN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444449
BALUFORGE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444451
BANARBEADS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444454
BANARISUG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444456
BANCOINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444458
BANDHANBNK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444460
BANG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444462
BANKA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444464
BANKBARODA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444466
BANKINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444469
BANSALWIRE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444471
BANSWRAS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444473
BASF,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444475
BASML,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444477
BATAINDIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444480
BAYERCROP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444482
BBL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444484
BBOX,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444486
BBTC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444488
BBTCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444490
BCG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444492
BCLIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444494
BCONCEPTS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444496
BDL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444498
BEARDSELL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444501
BECTORFOOD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444503
BEDMUTHA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444505
BEL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444507
BELLACASA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444509
BELRISE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444511
BEML,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444513
BEPL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444516
BERGEPAINT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444518
BETA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444520
BFINVEST,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444523
BGRENERGY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444525
BHAGCHEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444527
BHAGERIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444529
BHANDARI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444531
BHARATCOAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444533
BHARATFORG,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444535
BHARATGEAR,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444537
BHARATRAS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444539
BHARATSE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444542
BHARATWIRE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444544
BHARTIARTL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444546
BHARTIHEXA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444548
BHEL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444550
BIGBLOC,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444552
BIKAJI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444555
BIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444557
BIOCON,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444559
BIOFILCHEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444561
BIRLACABLE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444563
BIRLACORPN,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444565
BIRLAMONEY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444567
BIRLANU,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444570
BLACKBUCK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444572
BLAL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444574
BLBLIMITED,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444576
BLISSGVS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444578
BLKASHYAP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444580
BLS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444583
BLSE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444585
BLUECHIP,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444587
BLUECOAST,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444589
BLUEDART,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444591
BLUEJET,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444593
BLUESTARCO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444595
BLUESTONE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444597
BLUSPRING,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444600
BMWVENTLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444602
BODALCHEM,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444604
BOMDYEING,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444607
BOROLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444609
BORORENEW,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444611
BOROSCI,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444613
BOSCH-HCIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444615
BOSCHLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444617
BPCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444619
BPL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444621
BRIGADE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444623
BRIGHOTEL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444625
BRITANNIA,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444627
BRNL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444629
BROOKS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444631
BSE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444633
BSHSL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444636
BSL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444638
BSOFT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444640
BTML,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444642
BUILDPRO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444644
BUTTERFLY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444646
BVCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444648
BYKE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444650
CALSOFT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444652
CAMLINFINE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444654
CAMPUS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444656
CAMS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444658
CANBK,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444660
CANFINHOME,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444662
CANHLIFE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444664
CANTABIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444667
CAPACITE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444669
CAPILLARY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444671
CAPITALSFB,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444673
CAPLIPOINT,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444675
CAPTRUST,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444677
CARBORUNIV,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444679
CARERATING,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444682
CARRARO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444684
CARTRADE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444686
CARYSIL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444689
CASTROLIND,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444691
CCAVENUE,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444692
CCCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444694
CCHHL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444696
CCL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444698
CDSL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444700
CEATLTD,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444702
CEIGALL,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444704
CEINSYS,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444705
CELEBRITY,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444707
CELLO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444709
CEMPRO,0,0,0,0,0,0,latest,2026-02-18 17:33:20.444711
